goos: linux
goarch: amd64
pkg: github.com/charlievieth/strcase/internal/benchtest
cpu: Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz
                                │ ./stdlib.10.1706899847.07e88bec.txt │  ./strcase.10.1706899847.07e88bec.txt   │
                                │               sec/op                │    sec/op      vs base                  │
IndexPeriodic/IndexPeriodic8-8                            60.25µ ± 1%     93.58µ ± 0%    +55.32% (p=0.000 n=10)
IndexPeriodic/IndexPeriodic16-8                           29.94µ ± 2%     46.65µ ± 0%    +55.82% (p=0.000 n=10)
IndexPeriodic/IndexPeriodic32-8                           15.42µ ± 6%     23.25µ ± 2%    +50.77% (p=0.000 n=10)
IndexPeriodic/IndexPeriodic64-8                           9.334µ ± 5%    12.480µ ± 2%    +33.70% (p=0.000 n=10)
IndexByte_Bytes/10-8                                      3.315n ± 0%     4.075n ± 0%    +22.93% (p=0.000 n=10)
IndexByte_Bytes/32-8                                      3.973n ± 0%     4.704n ± 0%    +18.39% (p=0.000 n=10)
IndexByte_Bytes/4K-8                                      60.55n ± 0%     71.28n ± 0%    +17.71% (p=0.000 n=10)
IndexByte_Bytes/4M-8                                      90.70µ ± 2%     95.91µ ± 2%     +5.75% (p=0.000 n=10)
IndexByte_Bytes/64M-8                                     3.506m ± 3%     3.649m ± 2%     +4.06% (p=0.001 n=10)
IndexRune_Bytes/10-8                                      12.01n ± 1%     13.07n ± 0%     +8.87% (p=0.000 n=10)
IndexRune_Bytes/32-8                                      11.78n ± 1%     13.96n ± 0%    +18.41% (p=0.000 n=10)
IndexRune_Bytes/4K-8                                      81.25n ± 0%     80.36n ± 1%     -1.10% (p=0.000 n=10)
IndexRune_Bytes/4M-8                                      100.7µ ± 2%     101.7µ ± 2%          ~ (p=0.315 n=10)
IndexRune_Bytes/64M-8                                     3.664m ± 2%     3.682m ± 4%          ~ (p=0.579 n=10)
IndexRuneASCII_Bytes/10-8                                 3.258n ± 0%     6.151n ± 0%    +88.75% (p=0.000 n=10)
IndexRuneASCII_Bytes/32-8                                 4.059n ± 0%     6.943n ± 1%    +71.05% (p=0.000 n=10)
IndexRuneASCII_Bytes/4K-8                                 60.91n ± 0%     74.00n ± 0%    +21.48% (p=0.000 n=10)
IndexRuneASCII_Bytes/4M-8                                 89.29µ ± 2%     96.16µ ± 2%     +7.69% (p=0.000 n=10)
IndexRuneASCII_Bytes/64M-8                                3.555m ± 3%     3.716m ± 1%     +4.51% (p=0.000 n=10)
IndexNonASCII_Bytes/10-8                                  3.575n ± 0%     2.954n ± 0%    -17.36% (p=0.000 n=10)
IndexNonASCII_Bytes/32-8                                  8.785n ± 1%     3.633n ± 0%    -58.64% (p=0.000 n=10)
IndexNonASCII_Bytes/4K-8                                 873.15n ± 0%     71.10n ± 0%    -91.86% (p=0.000 n=10)
IndexNonASCII_Bytes/4M-8                                 890.22µ ± 1%     99.14µ ± 2%    -88.86% (p=0.000 n=10)
IndexNonASCII_Bytes/64M-8                                15.033m ± 2%     3.715m ± 2%    -75.29% (p=0.000 n=10)
geomean                                                   189.9n          232.3n         +22.36%

                           │ ./stdlib.10.1706899847.07e88bec.txt │  ./strcase.10.1706899847.07e88bec.txt   │
                           │                 B/s                 │      B/s       vs base                  │
CountByte/10-8                                      2.650Gi ± 0%    1.895Gi ± 0%    -28.50% (p=0.000 n=10)
CountByte/32-8                                      6.817Gi ± 0%    5.579Gi ± 0%    -18.16% (p=0.000 n=10)
CountByte/4K-8                                      82.13Gi ± 1%    65.61Gi ± 0%    -20.11% (p=0.000 n=10)
CountByte/4M-8                                      48.88Gi ± 2%    43.63Gi ± 2%    -10.73% (p=0.000 n=10)
CountByte/64M-8                                     16.11Gi ± 2%    15.96Gi ± 3%          ~ (p=0.123 n=10)
IndexByte_Bytes/10-8                                2.809Gi ± 0%    2.285Gi ± 0%    -18.65% (p=0.000 n=10)
IndexByte_Bytes/32-8                                7.501Gi ± 0%    6.336Gi ± 0%    -15.54% (p=0.000 n=10)
IndexByte_Bytes/4K-8                                63.00Gi ± 0%    53.52Gi ± 0%    -15.05% (p=0.000 n=10)
IndexByte_Bytes/4M-8                                43.07Gi ± 2%    40.73Gi ± 2%     -5.43% (p=0.000 n=10)
IndexByte_Bytes/64M-8                               17.82Gi ± 3%    17.13Gi ± 2%     -3.90% (p=0.001 n=10)
IndexRune_Bytes/10-8                                793.9Mi ± 1%    729.2Mi ± 0%     -8.15% (p=0.000 n=10)
IndexRune_Bytes/32-8                                2.529Gi ± 1%    2.136Gi ± 0%    -15.53% (p=0.000 n=10)
IndexRune_Bytes/4K-8                                46.95Gi ± 0%    47.47Gi ± 1%     +1.10% (p=0.000 n=10)
IndexRune_Bytes/4M-8                                38.79Gi ± 2%    38.42Gi ± 2%          ~ (p=0.315 n=10)
IndexRune_Bytes/64M-8                               17.06Gi ± 2%    16.98Gi ± 4%          ~ (p=0.579 n=10)
IndexRuneASCII_Bytes/10-8                           2.858Gi ± 0%    1.514Gi ± 0%    -47.03% (p=0.000 n=10)
IndexRuneASCII_Bytes/32-8                           7.342Gi ± 0%    4.293Gi ± 1%    -41.53% (p=0.000 n=10)
IndexRuneASCII_Bytes/4K-8                           62.62Gi ± 0%    51.55Gi ± 0%    -17.68% (p=0.000 n=10)
IndexRuneASCII_Bytes/4M-8                           43.75Gi ± 2%    40.63Gi ± 2%     -7.14% (p=0.000 n=10)
IndexRuneASCII_Bytes/64M-8                          17.58Gi ± 3%    16.82Gi ± 1%     -4.32% (p=0.000 n=10)
IndexNonASCII_Bytes/10-8                            2.605Gi ± 0%    3.152Gi ± 0%    +21.00% (p=0.000 n=10)
IndexNonASCII_Bytes/32-8                            3.393Gi ± 1%    8.203Gi ± 0%   +141.79% (p=0.000 n=10)
IndexNonASCII_Bytes/4K-8                            4.369Gi ± 0%   53.652Gi ± 0%  +1128.03% (p=0.000 n=10)
IndexNonASCII_Bytes/4M-8                            4.388Gi ± 1%   39.403Gi ± 2%   +797.98% (p=0.000 n=10)
IndexNonASCII_Bytes/64M-8                           4.157Gi ± 2%   16.825Gi ± 2%   +304.69% (p=0.000 n=10)
geomean                                             10.68Gi         12.49Gi         +16.95%
