goos: linux
goarch: amd64
pkg: github.com/charlievieth/strcase/internal/benchtest
cpu: Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz
                                │ ./stdlib.10.1706904187.07e88bec.txt │  ./strcase.10.1706904187.07e88bec.txt   │
                                │               sec/op                │    sec/op      vs base                  │
IndexPeriodic/IndexPeriodic8-8                            59.77µ ± 1%     93.58µ ± 0%    +56.56% (p=0.000 n=10)
IndexPeriodic/IndexPeriodic16-8                           29.58µ ± 2%     46.28µ ± 1%    +56.42% (p=0.000 n=10)
IndexPeriodic/IndexPeriodic32-8                           15.14µ ± 5%     23.20µ ± 1%    +53.25% (p=0.000 n=10)
IndexPeriodic/IndexPeriodic64-8                           9.050µ ± 8%    12.564µ ± 3%    +38.84% (p=0.000 n=10)
IndexByte_Bytes/10-8                                      3.213n ± 1%     4.062n ± 0%    +26.44% (p=0.000 n=10)
IndexByte_Bytes/32-8                                      3.870n ± 1%     4.863n ± 0%    +25.64% (p=0.000 n=10)
IndexByte_Bytes/4K-8                                      60.31n ± 0%     72.22n ± 0%    +19.75% (p=0.000 n=10)
IndexByte_Bytes/4M-8                                      88.94µ ± 1%     97.23µ ± 1%     +9.32% (p=0.000 n=10)
IndexByte_Bytes/64M-8                                     3.268m ± 2%     3.537m ± 3%     +8.24% (p=0.000 n=10)
IndexRune_Bytes/10-8                                      10.98n ± 0%     12.62n ± 1%    +14.98% (p=0.000 n=10)
IndexRune_Bytes/32-8                                      11.90n ± 0%     13.33n ± 0%    +12.11% (p=0.000 n=10)
IndexRune_Bytes/4K-8                                      80.27n ± 0%     79.53n ± 0%     -0.93% (p=0.000 n=10)
IndexRune_Bytes/4M-8                                      100.2µ ± 1%     100.4µ ± 2%          ~ (p=0.796 n=10)
IndexRune_Bytes/64M-8                                     3.462m ± 3%     3.574m ± 2%     +3.23% (p=0.004 n=10)
IndexRuneASCII_Bytes/10-8                                 3.390n ± 0%     6.058n ± 0%    +78.70% (p=0.000 n=10)
IndexRuneASCII_Bytes/32-8                                 3.943n ± 0%     7.067n ± 0%    +79.19% (p=0.000 n=10)
IndexRuneASCII_Bytes/4K-8                                 60.06n ± 0%     73.78n ± 0%    +22.84% (p=0.000 n=10)
IndexRuneASCII_Bytes/4M-8                                 90.94µ ± 2%     96.98µ ± 2%     +6.64% (p=0.000 n=10)
IndexRuneASCII_Bytes/64M-8                                3.418m ± 2%     3.595m ± 1%     +5.17% (p=0.000 n=10)
IndexNonASCII_Bytes/10-8                                  3.240n ± 0%     3.153n ± 0%     -2.68% (p=0.000 n=10)
IndexNonASCII_Bytes/32-8                                  8.435n ± 0%     3.566n ± 0%    -57.73% (p=0.000 n=10)
IndexNonASCII_Bytes/4K-8                                 873.80n ± 0%     70.98n ± 0%    -91.88% (p=0.000 n=10)
IndexNonASCII_Bytes/4M-8                                 886.31µ ± 1%     96.39µ ± 4%    -89.12% (p=0.000 n=10)
IndexNonASCII_Bytes/64M-8                                15.093m ± 2%     3.608m ± 2%    -76.10% (p=0.000 n=10)
geomean                                                   192.8n          237.6n         +23.25%

                           │ ./stdlib.10.1706904187.07e88bec.txt │  ./strcase.10.1706904187.07e88bec.txt   │
                           │                 B/s                 │      B/s       vs base                  │
CountByte/10-8                                      2.770Gi ± 0%    1.971Gi ± 0%    -28.86% (p=0.000 n=10)
CountByte/32-8                                      6.314Gi ± 0%    5.869Gi ± 0%     -7.05% (p=0.000 n=10)
CountByte/4K-8                                      60.34Gi ± 0%    66.19Gi ± 0%     +9.69% (p=0.000 n=10)
CountByte/4M-8                                      47.55Gi ± 3%    43.47Gi ± 2%     -8.58% (p=0.000 n=10)
CountByte/64M-8                                     16.61Gi ± 2%    15.86Gi ± 3%     -4.52% (p=0.000 n=10)
IndexByte_Bytes/10-8                                2.899Gi ± 1%    2.293Gi ± 0%    -20.91% (p=0.000 n=10)
IndexByte_Bytes/32-8                                7.700Gi ± 1%    6.128Gi ± 0%    -20.41% (p=0.000 n=10)
IndexByte_Bytes/4K-8                                63.25Gi ± 0%    52.82Gi ± 0%    -16.49% (p=0.000 n=10)
IndexByte_Bytes/4M-8                                43.92Gi ± 1%    40.18Gi ± 1%     -8.52% (p=0.000 n=10)
IndexByte_Bytes/64M-8                               19.13Gi ± 2%    17.67Gi ± 2%     -7.62% (p=0.000 n=10)
IndexRune_Bytes/10-8                                868.3Mi ± 0%    755.4Mi ± 1%    -13.00% (p=0.000 n=10)
IndexRune_Bytes/32-8                                2.506Gi ± 0%    2.235Gi ± 0%    -10.82% (p=0.000 n=10)
