goos: linux
goarch: amd64
pkg: github.com/charlievieth/strcase/internal/benchtest
cpu: Intel(R) Xeon(R) Platinum 8488C
BenchmarkLastIndexHard1-4            	     214	   5526954 ns/op	 1048577 B/op	       1 allocs/op
BenchmarkLastIndexHard1-4            	     218	   5447912 ns/op	 1048576 B/op	       1 allocs/op
BenchmarkLastIndexHard1-4            	     217	   5480703 ns/op	 1048577 B/op	       1 allocs/op
BenchmarkLastIndexHard1-4            	     220	   5474312 ns/op	 1048576 B/op	       1 allocs/op
BenchmarkLastIndexHard1-4            	     213	   5594817 ns/op	 1048577 B/op	       1 allocs/op
BenchmarkLastIndexHard1-4            	     214	   5574362 ns/op	 1048576 B/op	       1 allocs/op
BenchmarkLastIndexHard1-4            	     210	   5600898 ns/op	 1048578 B/op	       1 allocs/op
BenchmarkLastIndexHard1-4            	     214	   5739236 ns/op	 1048578 B/op	       1 allocs/op
BenchmarkLastIndexHard2-4            	     208	   5725172 ns/op	 1048587 B/op	       2 allocs/op
BenchmarkLastIndexHard2-4            	     207	   5738026 ns/op	 1048588 B/op	       2 allocs/op
BenchmarkLastIndexHard2-4            	     206	   5768575 ns/op	 1048589 B/op	       2 allocs/op
BenchmarkLastIndexHard2-4            	     213	   5577913 ns/op	 1048591 B/op	       2 allocs/op
BenchmarkLastIndexHard2-4            	     214	   5600811 ns/op	 1048587 B/op	       2 allocs/op
BenchmarkLastIndexHard2-4            	     207	   5649265 ns/op	 1048588 B/op	       2 allocs/op
BenchmarkLastIndexHard2-4            	     216	   5545981 ns/op	 1048589 B/op	       2 allocs/op
BenchmarkLastIndexHard2-4            	     213	   5635766 ns/op	 1048589 B/op	       2 allocs/op
BenchmarkLastIndexHard2-4            	     202	   5653605 ns/op	 1048588 B/op	       2 allocs/op
BenchmarkLastIndexHard2-4            	     212	   5527388 ns/op	 1048588 B/op	       2 allocs/op
BenchmarkLastIndexHard3-4            	     212	   5626511 ns/op	 1048603 B/op	       2 allocs/op
BenchmarkLastIndexHard3-4            	     211	   5639883 ns/op	 1048600 B/op	       2 allocs/op
BenchmarkLastIndexHard3-4            	     211	   5689879 ns/op	 1048601 B/op	       2 allocs/op
BenchmarkLastIndexHard3-4            	     213	   5640433 ns/op	 1048601 B/op	       2 allocs/op
BenchmarkLastIndexHard3-4            	     212	   5592043 ns/op	 1048602 B/op	       2 allocs/op
BenchmarkLastIndexHard3-4            	     213	   5602035 ns/op	 1048602 B/op	       2 allocs/op
BenchmarkLastIndexHard3-4            	     213	   5714289 ns/op	 1048601 B/op	       2 allocs/op
BenchmarkLastIndexHard3-4            	     212	   5582701 ns/op	 1048602 B/op	       2 allocs/op
BenchmarkLastIndexHard3-4            	     212	   5618100 ns/op	 1048601 B/op	       2 allocs/op
BenchmarkLastIndexHard3-4            	     210	   5677595 ns/op	 1048600 B/op	       2 allocs/op
BenchmarkCountHard1-4                	     294	   4060216 ns/op	 1048577 B/op	       1 allocs/op
BenchmarkCountHard1-4                	     295	   4063800 ns/op	 1048578 B/op	       1 allocs/op
BenchmarkCountHard1-4                	     289	   4112793 ns/op	 1048577 B/op	       1 allocs/op
BenchmarkCountHard1-4                	     290	   4058042 ns/op	 1048576 B/op	       1 allocs/op
BenchmarkCountHard1-4                	     291	   4058453 ns/op	 1048577 B/op	       1 allocs/op
BenchmarkCountHard1-4                	     282	   4255698 ns/op	 1048578 B/op	       1 allocs/op
BenchmarkCountHard1-4                	     282	   4249526 ns/op	 1048577 B/op	       1 allocs/op
BenchmarkCountHard1-4                	     278	   4303797 ns/op	 1048578 B/op	       1 allocs/op
BenchmarkCountHard1-4                	     276	   4315446 ns/op	 1048578 B/op	       1 allocs/op
BenchmarkCountHard1-4                	     289	   4115034 ns/op	 1048576 B/op	       1 allocs/op
BenchmarkCountHard2-4                	     284	   4181050 ns/op	 1048586 B/op	       2 allocs/op
BenchmarkCountHard2-4                	     286	   4170517 ns/op	 1048586 B/op	       2 allocs/op
BenchmarkCountHard2-4                	     289	   4110577 ns/op	 1048586 B/op	       2 allocs/op
BenchmarkCountHard2-4                	     292	   4085359 ns/op	 1048584 B/op	       2 allocs/op
BenchmarkCountHard2-4                	     291	   4105961 ns/op	 1048585 B/op	       2 allocs/op
BenchmarkCountHard2-4                	     289	   4119797 ns/op	 1048584 B/op	       2 allocs/op
BenchmarkCountHard2-4                	     288	   4106744 ns/op	 1048586 B/op	       2 allocs/op
BenchmarkCountHard2-4                	     285	   4146382 ns/op	 1048585 B/op	       2 allocs/op
BenchmarkCountHard2-4                	     288	   4116058 ns/op	 1048585 B/op	       2 allocs/op
BenchmarkCountHard2-4                	     291	   4124327 ns/op	 1048586 B/op	       2 allocs/op
BenchmarkCountHard3-4                	     262	   4575609 ns/op	 1048601 B/op	       2 allocs/op
BenchmarkCountHard3-4                	     265	   4455909 ns/op	 1048602 B/op	       2 allocs/op
BenchmarkCountHard3-4                	     265	   4460006 ns/op	 1048600 B/op	       2 allocs/op
BenchmarkCountHard3-4                	     270	   4396786 ns/op	 1048601 B/op	       2 allocs/op
BenchmarkCountHard3-4                	     268	   4375984 ns/op	 1048601 B/op	       2 allocs/op
BenchmarkCountHard3-4                	     272	   4377986 ns/op	 1048601 B/op	       2 allocs/op
BenchmarkCountHard3-4                	     270	   4384517 ns/op	 1048600 B/op	       2 allocs/op
BenchmarkCountHard3-4                	     272	   4373402 ns/op	 1048601 B/op	       2 allocs/op
BenchmarkCountHard3-4                	     274	   4347668 ns/op	 1048601 B/op	       2 allocs/op
BenchmarkCountHard3-4                	     274	   4381055 ns/op	 1048601 B/op	       2 allocs/op
BenchmarkIndexTorture-4              	   64777	     19495 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexTorture-4              	   56725	     18107 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexTorture-4              	   64255	     19260 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexTorture-4              	   64124	     18949 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexTorture-4              	   55626	     20125 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexTorture-4              	   63241	     19857 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexTorture-4              	   54763	     21540 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexTorture-4              	   63682	     18874 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexTorture-4              	   58933	     20794 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndexTorture-4              	   57256	     18770 ns/op	       0 B/op	       0 allocs/op
BenchmarkCountTorture-4              	   62472	     18583 ns/op	       0 B/op	       0 allocs/op
BenchmarkCountTorture-4              	   64372	     20426 ns/op	       0 B/op	       0 allocs/op
BenchmarkCountTorture-4              	   63769	     18401 ns/op	       0 B/op	       0 allocs/op
BenchmarkCountTorture-4              	   61242	     19648 ns/op	       0 B/op	       0 allocs/op
BenchmarkCountTorture-4              	   54181	     21168 ns/op	       0 B/op	       0 allocs/op
BenchmarkCountTorture-4              	   57012	     19083 ns/op	       0 B/op	       0 allocs/op
BenchmarkCountTorture-4              	   57622	     18802 ns/op	       0 B/op	       0 allocs/op
BenchmarkCountTorture-4              	   56679	     18758 ns/op	       0 B/op	       0 allocs/op
BenchmarkCountTorture-4              	   64218	     18377 ns/op	       0 B/op	       0 allocs/op
BenchmarkCountTorture-4              	   59113	     18970 ns/op	       0 B/op	       0 allocs/op
BenchmarkCountTortureOverlapping-4   	     453	   3093936 ns/op	    6950 B/op	       0 allocs/op
BenchmarkCountTortureOverlapping-4   	     331	   3031244 ns/op	    9512 B/op	       0 allocs/op
BenchmarkCountTortureOverlapping-4   	     457	   2630684 ns/op	    6890 B/op	       0 allocs/op
BenchmarkCountTortureOverlapping-4   	     445	   2940690 ns/op	    7075 B/op	       0 allocs/op
BenchmarkCountTortureOverlapping-4   	     426	   3592992 ns/op	    7391 B/op	       0 allocs/op
BenchmarkCountTortureOverlapping-4   	     429	   3664327 ns/op	    7339 B/op	       0 allocs/op
BenchmarkCountTortureOverlapping-4   	     330	   3264439 ns/op	    9541 B/op	       0 allocs/op
BenchmarkCountTortureOverlapping-4   	     350	   3400253 ns/op	    8996 B/op	       0 allocs/op
BenchmarkCountTortureOverlapping-4   	     442	   2989273 ns/op	    7123 B/op	       0 allocs/op
BenchmarkCountTortureOverlapping-4   	     435	   2900721 ns/op	    7238 B/op	       0 allocs/op
BenchmarkCountByte/10-4              	15694150	        69.28 ns/op	 144.34 MB/s	      16 B/op	       2 allocs/op
BenchmarkCountByte/10-4              	17367998	        69.16 ns/op	 144.59 MB/s	      16 B/op	       2 allocs/op
BenchmarkCountByte/10-4              	17461669	        69.27 ns/op	 144.37 MB/s	      16 B/op	       2 allocs/op
BenchmarkCountByte/10-4              	17677964	        69.38 ns/op	 144.14 MB/s	      16 B/op	       2 allocs/op
BenchmarkCountByte/10-4              	17524576	        69.16 ns/op	 144.59 MB/s	      16 B/op	       2 allocs/op
BenchmarkCountByte/10-4              	17113454	        70.03 ns/op	 142.80 MB/s	      16 B/op	       2 allocs/op
BenchmarkCountByte/10-4              	17328240	        69.20 ns/op	 144.50 MB/s	      16 B/op	       2 allocs/op
BenchmarkCountByte/10-4              	17222066	        69.38 ns/op	 144.14 MB/s	      16 B/op	       2 allocs/op
BenchmarkCountByte/10-4              	17075295	        69.15 ns/op	 144.61 MB/s	      16 B/op	       2 allocs/op
BenchmarkCountByte/10-4              	17517663	        70.12 ns/op	 142.61 MB/s	      16 B/op	       2 allocs/op
BenchmarkCountByte/32-4              	 7791180	       149.4 ns/op	 214.20 MB/s	      49 B/op	       2 allocs/op
BenchmarkCountByte/32-4              	 7242811	       151.0 ns/op	 211.95 MB/s	      49 B/op	       2 allocs/op
BenchmarkCountByte/32-4              	 7362541	       150.2 ns/op	 213.01 MB/s	      49 B/op	       2 allocs/op
BenchmarkCountByte/32-4              	 7288236	       150.4 ns/op	 212.71 MB/s	      49 B/op	       2 allocs/op
BenchmarkCountByte/32-4              	 7274210	       151.5 ns/op	 211.27 MB/s	      49 B/op	       2 allocs/op
BenchmarkCountByte/32-4              	 7234454	       151.5 ns/op	 211.22 MB/s	      49 B/op	       2 allocs/op
BenchmarkCountByte/32-4              	 7037959	       151.5 ns/op	 211.23 MB/s	      49 B/op	       2 allocs/op
BenchmarkCountByte/32-4              	 7252376	       151.9 ns/op	 210.72 MB/s	      49 B/op	       2 allocs/op
BenchmarkCountByte/32-4              	 7359838	       152.1 ns/op	 210.35 MB/s	      49 B/op	       2 allocs/op
BenchmarkCountByte/32-4              	 7227154	       153.3 ns/op	 208.75 MB/s	      49 B/op	       2 allocs/op
BenchmarkCountByte/4K-4              	   85400	     12935 ns/op	 316.65 MB/s	    4865 B/op	       2 allocs/op
BenchmarkCountByte/4K-4              	   81488	     12882 ns/op	 317.97 MB/s	    4865 B/op	       2 allocs/op
BenchmarkCountByte/4K-4              	   83836	     12904 ns/op	 317.41 MB/s	    4865 B/op	       2 allocs/op
BenchmarkCountByte/4K-4              	   81332	     12922 ns/op	 316.97 MB/s	    4865 B/op	       2 allocs/op
BenchmarkCountByte/4K-4              	   83462	     12858 ns/op	 318.55 MB/s	    4865 B/op	       2 allocs/op
